feature,cluster,mean,variance,min,max
traffic_lights_per_km,1,0.8034451131609642,1.5967323376064537,0.0,6.493953064382902
bridges_per_km,1,0.20486847205791023,0.5556552252771544,0.0,5.572243075839794
tunnels_per_km,1,0.0,0.0,0.0,0.0
bearing_std,1,92.9608753620076,845.7226756227361,11.765651150527804,157.6630192917573
turns_per_km,1,7.243131807522785,8.503775937729898,0.0,24.16543923216788
mean_circuity,1,2.392018357360234,2.0628514066687496,1.0456979757086995,17.523984924405276
edge_length_std,1,44.73560298578335,158.27281055728682,12.829034886556906,91.6746707880207
edges_per_km,1,24.060935245338133,36.50685487249841,7.777194998594762,57.11831091239681
free_flow_time,2,2.5758839925236447,1.7780124167666234,0.1512598992080633,7.52427955550665
total_length,2,1924.3514607429302,821162.8941197097,184.8690194929996,4710.61395377508
mean_speed,2,37.68317715995629,48.95724393373712,20.015999999999995,54.00144
speed_std,2,6.688101978307851,15.860171579214938,0.0,24.399453623859227
speed_range,2,16.80013170113973,96.49340061778267,0.0,60.012
pct_high_speed,2,0.4197493555826095,0.11639931892405272,0.0,1.0
pct_paved,2,0.4796797543571092,0.11392836874784833,0.0,1.0
pct_unpaved,2,9.013049455655956e-05,6.480246305296223e-06,0.0,0.0788934683323032
pct_motorway,2,0.0,0.0,0.0,0.0
pct_trunk,2,0.0,0.0,0.0,0.0
pct_primary,2,0.07327514393491524,0.022753664750423678,0.0,1.0
pct_secondary,2,0.036704848727930874,0.012823812201649947,0.0,1.0
pct_tertiary,2,0.012201796302388341,0.004552245410764478,0.0,1.0
pct_unclassified,2,0.010042637096953412,0.0018022392433234198,0.0,0.6071624874052468
pct_residential,2,0.8627134731081637,0.03940028783221783,0.0,1.0
pct_lit,2,0.10850253179022674,0.030337240905318894,0.0,1.0
lane_changes_per_km,2,0.5224335385745597,0.6303416873219997,0.0,4.642407057115367
priority_changes_per_km,2,3.813535839322067,20.985733113435447,0.0,24.217068371985388
yield_priority_changes_per_km,2,0.2948384824476894,0.147882124339284,0.0,3.192805363280219
traffic_lights_per_km,2,0.06908718880155099,0.0793022427403535,0.0,3.5704911507629093
bridges_per_km,2,0.04673884783232631,0.05143649278475575,0.0,2.19663636936001
tunnels_per_km,2,0.0,0.0,0.0,0.0
bearing_std,2,87.2037475837417,806.5444128161153,1.6086151584191417,162.38831922304672
turns_per_km,2,5.310853342686718,4.154743403620511,0.0,13.998587651074509
mean_circuity,2,2.4451059010098173,6.197001318418048,1.0006908222484765,70.63274133002461
edge_length_std,2,63.04535890880572,461.22992477063696,6.823412780125856,178.69227987183055
edges_per_km,2,16.74162695429983,27.368015478849067,5.620488947961213,43.477679207094205
