,ingolstadt_1: clusters,ingolstadt_1: enriched,ingolstadt_2: clusters,ingolstadt_2: enriched,ingolstadt_3: clusters,ingolstadt_3: enriched,ingolstadt_classic_1: enriched,ingolstadt_classic_2: enriched,ingolstadt_classic_3: enriched,ingolstadt_classic_4: enriched,ingolstadt_classic_5: enriched,ingolstadt_classic_6: enriched
traffic_lights_per_km,1.3172858731012236,1.261904410019661,1.3406885397611534,1.3266705647247525,1.530000351808873,1.5171988538586954,1.6022263129977703,1.5127113641676129,1.507099080998043,1.495042004522586,1.4933410371161062,1.4641824435575537
bearing_std,94.34981018752032,91.94853632058273,92.29966224116222,91.2391326440164,80.427235360609,79.12873391490675,72.94527234302159,75.65463879436936,76.2745078215207,75.77783134639093,75.27080606046795,80.18331740731585
turns_per_km,2.1979053901987715,2.1864398594605117,2.1205493609756094,2.106459376668674,2.027175137214465,2.0168016791904755,1.8128154944551729,1.89113713895236,1.8948745678227452,1.9472294073722853,1.9572542886343571,2.0482546747625543
left_yield_turns_per_km,0.5373718735222648,0.5533143143719041,0.545846963987809,0.5386189798568924,0.5104784489275658,0.5029003083055053,0.49182254576025736,0.5227341034339105,0.5133238112888392,0.5158463996670931,0.4776160830826945,0.4989781640148731
mean_circuity,3.475005997256657,2.319102969454158,3.176371627226527,2.9124628897689204,2.018114367319189,1.901956724230498,1.6382952799843833,1.654425722068545,1.6608628464168924,1.6907682688093826,1.7333415961802197,1.957060415059456
edge_length_std,77.06338942368,77.8106085873424,77.18349979070177,77.16279585231469,80.54081972440882,80.11307355646089,82.80471099914375,82.96926538241574,83.06898615837146,82.33399118707403,81.24317219719103,80.12093580566048
edges_per_km,9.645120032754438,9.732829450346909,9.775653117269789,9.899447375681497,9.626889332697584,9.712423958169733,9.618139337286822,9.461352349316794,9.454180017644799,9.437019283524354,9.585170475403118,9.69420867685635
od_count_mean,3.9313725490196076,577.6078431372549,3.849673202614379,11.480392156862745,3.7777777777777777,10.790849673202615,1.7973856209150327,2.552287581699346,2.480392156862745,4.019607843137255,6.143790849673203,9.794117647058824
free_flow_time_min,0.0,0.0,0.0,0.0,0.0,0.0,0.1597070182180205,0.1597070182180205,0.1597070182180205,0.1597070182180205,0.1597070182180205,0.1597070182180205
free_flow_time_max,12.63340996013262,12.63340996013262,13.674538879652632,13.674538879652632,9.066888137881232,9.066888137881232,7.324345143711363,7.385336264421707,7.385336264421707,7.324345143711363,8.026484900691997,10.38596914681468
free_flow_time_std,2.0740978389325275,1.5358495772741132,1.8203037862726608,1.600981181241577,1.1831676819492614,1.0908821712944872,1.2974808419619654,1.4500694763239899,1.4452537803126664,1.3515138695952604,1.1952265982790526,1.2197589813459602
total_length_min,220.1391582496537,220.1391582496537,220.1391582496537,220.1391582496537,220.1391582496537,220.1391582496537,336.1522498505308,336.1522498505308,336.1522498505308,336.1522498505308,336.1522498505308,336.1522498505308
total_length_max,9189.670575586091,9189.670575586091,10518.19978527888,10518.19978527888,5842.368181941098,5842.368181941098,5035.6849752841445,5188.60858651417,5188.60858651417,5285.879471472639,5204.61668047837,7357.487061286861
total_length_std,1424.9740603010778,1015.9644799156661,1339.5199763444425,1207.5414010900224,843.3160383986537,790.1443223244273,886.9600444419485,973.7645958638149,970.5725803262918,901.2042692208266,826.8632315266859,844.056237934393
