sumo_id,from,to,priority,type,speed,lanes,allow,disallow,osmid,has_traffic_light,surface,bridge,tunnel,lit,bearing,length
-137957785#4,7052469490,7052469488,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137957785,0,,,,,302.0416626320031,15.99319651961888
-137957785#5,1512711356,7052469490,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137957785,0,,,,,302.0416626320031,184.71487729882352
-137957786#0,7050191396,2130789383,10,highway.tertiary,79.992,1,,tram rail_urban rail rail_electric rail_fast ship,137957786,0,asphalt,,,,51.642060514157784,131.1990010126674
-137957786#1,427670008,7050191396,10,highway.tertiary,79.992,1,,tram rail_urban rail rail_electric rail_fast ship,137957786,0,asphalt,,,,51.642060514157784,29.102633868639387
-137957788#0,10286033929,1512711242,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137957788,0,,,,,175.27334831245076,167.35447988913606
-137957788#1,1512711396,10286033929,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137957788,0,,,,,175.27334831245076,143.64260170834643
-137957789#0,1512826321,1512711369,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137957789,0,,,,,137.97107971677633,64.48735479807559
-137957789#1,1512826318,1512826321,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137957789,0,,,,,137.97107971677633,78.77002797926473
-137957789#2,9721176908,1512826318,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137957789,0,,,,,137.97107971677633,
-137957789#3,10286033838,9721176908,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137957789,0,,,,,137.97107971677633,
-137957789#4,4264371194,10286033838,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137957789,0,,,,,137.97107971677633,
-137957789#5,9721176912,4264371194,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137957789,0,,,,,137.97107971677633,
-137957789#6,1512711336,9721176912,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137957789,0,,,,,137.97107971677633,30.32143084242176
-137957789#7,7050191390,1512711336,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137957789,0,,,,,137.97107971677633,30.262342407204763
-137959410#0,444027299,195698146,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137959410,0,,,,,172.31380993979243,58.368006082520616
-137959410#1,195698139,444027299,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137959410,0,,,,,172.31380993979243,
-137959410#2,195698133,195698139,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137959410,0,,,,,172.31380993979243,119.23417067888971
-137959410#3,3050087371,195698133,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137959410,0,,,,,172.31380993979243,99.86134331758919
-137959410#4,11509668372,3050087371,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137959410,0,,,,,172.31380993979243,4.941118414905036
-137971468#0,9721205953,1512826466,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137971468,0,,,,,126.56222478067822,21.08720643291425
-137971468#1,1512826524,9721205953,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137971468,0,,,,,126.56222478067822,23.14468404552678
-137971468#2,1512826249,1512826524,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137971468,0,,,,,126.56222478067822,41.70678974576305
-137971470#0,9697502173,1512826506,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137971470,0,,,,,93.74637172330453,28.43156368893379
-137971470#1,9697502175,9697502173,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137971470,0,,,,,93.74637172330453,
-137971470#2,1512826182,9697502175,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137971470,0,,,,,93.74637172330453,
-137971470#3,8022077071,1512826182,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137971470,0,,,,,93.74637172330453,
-137971470#4,9721205949,8022077071,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137971470,0,,,,,93.74637172330453,
-137971470#5,1512826297,9721205949,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137971470,0,,,,,93.74637172330453,91.13447792468523
-137971472#0,3254684948,1512826468,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137971472,0,,,,,216.31296783093035,38.48120519244126
-137971472#1,1512826356,3254684948,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137971472,0,,,,,216.31296783093035,
-137971472#2,2130789597,1512826356,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137971472,0,,,,,216.31296783093035,87.64461134881108
-137971472#3,1512826273,2130789597,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137971472,0,,,,,216.31296783093035,121.7534514351487
-137971475#0,1512826484,1512826290,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137971475,0,,,,,271.9345385592723,43.936919271132005
-137971475#1,1512826314,1512826484,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137971475,0,,,,,271.9345385592723,
-137971479#0,1512826453,1512826194,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137971479,0,,,,,183.4543289919718,
-137971479#1,9721205931,1512826453,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137971479,0,,,,,183.4543289919718,
-137971479#2,9721205933,9721205931,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137971479,0,,,,,183.4543289919718,
-137971480,1512826524,2135164677,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137971480,0,,,,,67.70953479464413,150.01650772305533
-137971486,1512826266,3259251840,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,137971486,0,,,,,235.93888638785145,158.19599093119558
