sumo_id,from,to,priority,type,speed,lanes,allow,disallow,has_traffic_light,type_clean,length,bearing,start_x,start_y,end_x,end_y
-57392522#0,4450485919,713881192,4,highway.unclassified,69.98400000000001,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,214.4284900154602,62.929635470981225,2166.53,4199.49,2354.82,4295.72
-57392522#1,713881762,4450485919,4,highway.unclassified,69.98400000000001,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,252.5373527699891,33.3326264460087,2027.77,3988.51,2166.53,4199.49
-57392522#2,713881033,713881762,4,highway.unclassified,69.98400000000001,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,70.83048938691655,42.78790872770412,1979.86,3936.75,2027.77,3988.51
-57392522#3,713881496,713881033,4,highway.unclassified,69.98400000000001,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,258.43377790615506,56.22012628639828,1765.13,3793.11,1979.86,3936.75
-57392522#4,713880865,713881496,4,highway.unclassified,69.98400000000001,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,217.44453991299267,76.03974213966478,1557.48,3741.49,1765.13,3793.11
-57392522#5,7881537291,713880865,4,highway.unclassified,69.98400000000001,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,95.39482923902892,50.199056189932776,1484.4,3680.6,1557.48,3741.49
-57392528#0,713881695,713881331,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,78.77645587356679,20.307475067523853,492.84,1627.57,520.18,1701.45
-57392528#1,343596103,713881695,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,125.88555933605977,22.47276082837311,444.74,1511.29,492.84,1627.57
-57392533,713881508,713881831,2,highway.living_street,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,living_street,81.62835046722465,121.9533015612252,2949.45,3792.9,3018.71,3749.7
-57392534#0,713880856,713881278,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,96.27890695147542,26.626821235119223,3037.29,3971.92,3080.05,4057.21
-57392534#1,713880866,713880856,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,79.74250561473353,43.854724383263374,2991.21,3923.96,3037.29,3971.92
-57392534#2,713881801,713880866,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,341.13998963637954,44.9840028110583,2758.47,3691.09,2991.21,3923.96
-57392538#0,11802650520,713881717,4,highway.unclassified,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,337.4048838517312,324.79630837971854,3157.35,3307.64,2972.37,3569.83
-57392538#1,5838684570,11802650520,4,highway.unclassified,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,65.44049722861195,339.45324531823525,3180.15,3246.81,3157.35,3307.64
-57392538#10,4020717965,5838651395,4,highway.unclassified,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,6.304569771205892,8.207216411918637,3239.96,2895.99,3240.86,2902.23
-57392538#11,713881058,4020717965,4,highway.unclassified,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,258.8755303989957,17.763202888870808,3161.62,2651.45,3239.96,2895.99
-57392538#12,713881541,713881058,4,highway.unclassified,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,185.95609754871174,18.846101756104474,3101.69,2475.87,3161.62,2651.45
-57392538#2,5838651426,5838684570,4,highway.unclassified,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,15.364195390582701,336.6887865283502,3186.23,3232.7,3180.15,3246.81
-57392538#3,713881255,5838651426,4,highway.unclassified,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,15.393222534609128,336.53260075545967,3192.36,3218.58,3186.23,3232.7
-57392538#4,5838684522,713881255,4,highway.unclassified,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,37.489915977499635,333.42811406457264,3209.13,3185.05,3192.36,3218.58
-57392538#5,5838684551,5838684522,4,highway.unclassified,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,5.627654929009228,332.02333533001314,3211.77,3180.08,3209.13,3185.05
-57392538#6,5838685896,5838684551,4,highway.unclassified,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,18.166345257095557,333.8722050225736,3219.77,3163.77,3211.77,3180.08
-57392538#7,5838651286,5838685896,4,highway.unclassified,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,149.65047126842154,348.34400864862545,3249.75,3018.44,3219.77,3163.77
-57392538#8,713880926,5838651286,4,highway.unclassified,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,65.30828125130859,359.08755630529043,3250.79,2953.14,3249.75,3018.44
-57392538#9,5838651395,713880926,4,highway.unclassified,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,51.86938403335808,11.036973701997397,3240.86,2902.23,3250.79,2953.14
-57392542,713880866,713881543,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,67.05083128668633,267.59178355887184,2991.21,3923.96,2924.87,3921.17
-57392554#0,713881831,241790360,2,highway.living_street,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,living_street,320.0655978826754,32.78916763697708,3018.71,3749.7,3191.52,4017.96
-57392554#1,713881717,713881831,2,highway.living_street,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,living_street,190.4067519973772,14.44697763682882,2972.37,3569.83,3018.71,3749.7
