sumo_id,from,to,priority,type,speed,lanes,allow,disallow,has_traffic_light,type_clean,length,bearing,start_x,start_y,end_x,end_y
1211108253#16,11221260809,11221260753,2,highway.living_street,10.008,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,living_street,1.182285921425118,171.73282666450814,3819.05,2805.58,3819.22,2804.41
1211108253#17,11221260753,11220762169,2,highway.living_street,10.008,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,living_street,2.4544856895082128,80.38417305673659,3819.22,2804.41,3821.64,2804.82
1211108253#18,11220762169,12111509652,2,highway.living_street,10.008,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,living_street,93.70376516776709,75.10399996587091,3821.64,2804.82,3907.24,2827.59
1211108253#19,12111509652,12111509651,2,highway.living_street,10.008,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,living_street,5.678344829261272,350.4713248633168,3907.24,2827.59,3906.3,2833.19
1211108253#2,11220621126,11220657494,2,highway.living_street,10.008,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,living_street,136.25467327824597,81.41346243541068,3678.59,2788.61,3812.7,2808.86
1211108253#20,12111509651,11221295103,2,highway.living_street,10.008,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,living_street,238.3765255816209,261.80360734472345,3906.3,2833.19,3676.43,2800.08
1211108253#21,11221295103,12111509650,2,highway.living_street,10.008,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,living_street,26.734503615835305,225.61859363439962,3676.43,2800.08,3666.6,2790.46
1211108253#3,11220657494,11221260802,2,highway.living_street,10.008,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,living_street,1.6662832892401642,76.4641436308728,3812.7,2808.86,3814.32,2809.25
1211108253#4,11221260802,11221260801,2,highway.living_street,10.008,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,living_street,1.6807438829277281,69.08486337096622,3814.32,2809.25,3815.89,2809.85
1211108253#5,11221260801,11221260813,2,highway.living_street,10.008,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,living_street,2.097736875778506,62.45771686481902,3815.89,2809.85,3817.75,2810.82
1211108253#6,11221260813,11221260803,2,highway.living_street,10.008,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,living_street,2.0905740838343214,58.89523691212952,3817.75,2810.82,3819.54,2811.9
1211108253#7,11221260803,11221260804,2,highway.living_street,10.008,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,living_street,1.5402921800749894,54.24611274556048,3819.54,2811.9,3820.79,2812.8
1211108253#8,11221260804,11221260800,2,highway.living_street,10.008,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,living_street,1.5901257811884448,52.409438731648834,3820.79,2812.8,3822.05,2813.77
1211108253#9,11221260800,11221260811,2,highway.living_street,10.008,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,living_street,1.5261061562029783,217.54570118725937,3822.05,2813.77,3821.12,2812.56
1211108254#0,6432341333,11220762169,3,highway.residential,20.016,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,residential,63.62175485217703,349.76925917822155,3832.94,2742.21,3821.64,2804.82
1211108254#1,11220762169,12111509652,3,highway.residential,20.016,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,residential,92.41191142132813,75.10399996587091,3821.64,2804.82,3907.24,2827.59
1241013765#0,603026884,11220762168,10,highway.tertiary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,tertiary,71.0192325931544,349.95276307588165,3931.75,2759.81,3919.36,2829.74
