sumo_id,from,to,priority,type,speed,lanes,allow,disallow,osmid,has_traffic_light,surface,bridge,tunnel,lit,bearing,length
6541522#1,3405888177,53273956,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6541522.0,0,,,,,278.6014631921491,334.94340178432725
6541522#2,53273956,53273961,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6541522.0,0,,,,,278.6014631921491,95.67017883854521
6541525,51123233,51123236,1,highway.service,20.016,1,pedestrian delivery bicycle,,6541525.0,0,asphalt,,,,88.07605883953266,219.14550429166377
6541541#0,53274000,12188839624,10,highway.tertiary,79.992,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6541541.0,0,asphalt,,,,82.08262152213962,168.49589073025726
6541541#1,12188839624,12201920764,10,highway.tertiary,79.992,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6541541.0,0,asphalt,,,,82.08262152213962,355.1376308909618
6541541#2,12201920764,1922638379,10,highway.tertiary,79.992,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6541541.0,0,asphalt,,,,82.08262152213962,10.936082845031768
6548812,53275012,9913429186,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6548812.0,0,,,,,125.78113752849599,509.626212269145
6548814,3887318875,53275012,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6548814.0,0,,,yes,,44.19191939823072,190.49242230287555
6548816#0,53275006,3160100606,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6548816.0,0,,,,,85.28604215343951,103.1134899551729
6548816#1,3160100606,3887318875,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6548816.0,0,,,,,85.28604215343951,57.608985260925024
6548816#2,3887318875,53275008,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6548816.0,0,,,,,85.28604215343951,
6548820#0,769253028,3840440617,12,highway.primary,50.004000000000005,2,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6548820.0,0,asphalt,,,,158.5798452561383,8.755889086960035
6548820#1,3840440617,769253020,12,highway.primary,50.004000000000005,2,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6548820.0,0,asphalt,,,,158.5798452561383,6.9165423923407285
6548820#2,769253020,53275030,12,highway.primary,50.004000000000005,2,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6548820.0,0,asphalt,,,,158.5798452561383,10.900954699422666
6548824#0,12252304006,12252304004,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6548824.0,0,,,,,306.3544185014027,13.59559492883395
6548824#1,12252304004,53275012,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6548824.0,0,,,,,306.3544185014027,
6548826,625256,9753113404,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6548826.0,0,asphalt,,,,124.57368949156258,112.25082725293805
6551314#0,53275523,53275521,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6551314.0,0,,,,,351.285223696232,27.851698810658817
6551314#1,53275521,53275506,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6551314.0,0,,,,,351.285223696232,26.762524273900844
6551314#2,53275506,53275508,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6551314.0,0,,,,,351.285223696232,32.61302815700321
6551314#3,53275508,6153708132,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6551314.0,0,,,,,351.285223696232,
6551314#4,6153708132,2126016546,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6551314.0,0,,,,,351.285223696232,53.92154347104503
6553102#0,2060495016,2060494990,10,highway.tertiary,79.992,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6553102.0,0,asphalt,,,,240.31364649128483,273.2397457754513
6553102#1,2060494990,3887318619,10,highway.tertiary,79.992,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6553102.0,0,asphalt,,,,240.31364649128483,411.07323643205814
6553102#10,3160100467,53276543,10,highway.tertiary,79.992,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6553102.0,0,asphalt,,,,240.31364649128483,146.35546146391158
6553102#11,53276543,3160100442,10,highway.tertiary,79.992,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6553102.0,0,asphalt,,,,240.31364649128483,30.907619564147808
6553102#12,3160100442,3160100418,10,highway.tertiary,79.992,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6553102.0,0,asphalt,,,,240.31364649128483,64.76882777212747
6553102#13,3160100418,3316655109,10,highway.tertiary,79.992,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6553102.0,0,asphalt,,,,240.31364649128483,65.26657323434425
6553102#14,3316655109,53276462,10,highway.tertiary,79.992,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6553102.0,0,asphalt,,,,240.31364649128483,294.3283727169494
6553102#15,53276462,3654396372,10,highway.tertiary,79.992,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6553102.0,0,asphalt,,,,240.31364649128483,636.8207363047089
6553102#16,3654396372,53276494,10,highway.tertiary,79.992,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6553102.0,0,asphalt,,,,240.31364649128483,18.086560181763495
6553102#17,53276494,3316655076,10,highway.tertiary,79.992,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6553102.0,0,asphalt,,,,240.31364649128483,23.997062217151285
